UBIGEO;DEPARTAMENTO;PROVINCIA;PLAZO
10101;AMAZONAS;CHACHAPOYAS;2
10201;AMAZONAS;BAGUA;4
10301;AMAZONAS;BONGARA;5
10401;AMAZONAS;CONDORCANQUI;5
10501;AMAZONAS;LUYA;4
10601;AMAZONAS;RODRIGUEZ DE MENDOZA;4
10701;AMAZONAS;UTCUBAMBA;4
20101;ANCASH;HUARAZ;2
20201;ANCASH;AIJA;4
20301;ANCASH;ANTONIO RAYMONDI;4
20401;ANCASH;ASUNCION;4
20501;ANCASH;BOLOGNESI;4
20601;ANCASH;CARHUAZ;4
20701;ANCASH;CARLOS F. FITZCARRALD;4
20801;ANCASH;CASMA;4
20901;ANCASH;CORONGO;4
21001;ANCASH;HUARI;4
21101;ANCASH;HUARMEY;4
21201;ANCASH;HUAYLAS;4
21301;ANCASH;MARISCAL LUZURIAGA;5
21401;ANCASH;OCROS;5
21501;ANCASH;PALLASCA;4
21601;ANCASH;POMABAMBA;5
21701;ANCASH;RECUAY;4
21801;ANCASH;SANTA;4
21901;ANCASH;SIHUAS;5
22001;ANCASH;YUNGAY;4
30101;APURIMAC;ABANCAY;2
30201;APURIMAC;ANDAHUAYLAS;4
30301;APURIMAC;ANTABAMBA;5
30401;APURIMAC;AYMARAES;4
30501;APURIMAC;COTABAMBAS;5
30601;APURIMAC;CHINCHEROS;5
30701;APURIMAC;GRAU;4
40101;AREQUIPA;AREQUIPA;2
40201;AREQUIPA;CAMANA;4
40301;AREQUIPA;CARAVELI;5
40401;AREQUIPA;CASTILLA;5
40501;AREQUIPA;CAYLLOMA;5
40601;AREQUIPA;CONDESUYOS;5
40701;AREQUIPA;ISLAY;4
40801;AREQUIPA;LA UNION;5
50101;AYACUCHO;HUAMANGA;2
50201;AYACUCHO;CANGALLO;5
50301;AYACUCHO;HUANCA SANCOS;5
50401;AYACUCHO;HUANTA;4
50501;AYACUCHO;LA MAR;4
50601;AYACUCHO;LUCANAS;8
50701;AYACUCHO;PARINACOCHAS;8
50801;AYACUCHO;PAUCAR DEL SARA SARA;8
50901;AYACUCHO;SUCRE;5
51001;AYACUCHO;VICTOR FAJARDO;5
51101;AYACUCHO;VILCAS HUAMAN;5
60101;CAJAMARCA;CAJAMARCA;2
60201;CAJAMARCA;CAJABAMBA;5
60301;CAJAMARCA;CELENDIN;5
60401;CAJAMARCA;CHOTA;5
60501;CAJAMARCA;CONTUMAZA;5
60601;CAJAMARCA;CUTERVO;8
60701;CAJAMARCA;HUALGAYOC;4
60801;CAJAMARCA;JAEN;8
60901;CAJAMARCA;SAN IGNACIO;8
61001;CAJAMARCA;SAN MARCOS;5
61101;CAJAMARCA;SAN MIGUEL;5
61201;CAJAMARCA;SAN PABLO;4
61301;CAJAMARCA;SANTA CRUZ;5
70101;CALLAO;CALLAO;1
70102;CALLAO;BELLAVISTA;1
